rmse,zcr,tempo,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.040524486,0.04110977535104227,126.04801829268293,3073.881863920103,5184.647033553409,18.173919181105045,0.003689231,5102.658432704835,-356.66995,138.20811,1.1616142,-12.925661,34.939312,18.681837,16.998713,1.5297102,14.018314,-7.718867,-2.6025622,-4.4946437,-5.67433,-13.800891,-3.4931233,-2.0431275,0.5466514,-15.090749,-2.3786182,-3.381395,0
0.00077357,0.05790303135856977,132.51201923076923,4044.4653701442503,5412.352972097597,15.664712122344799,0.01961158,8437.78626795925,-726.16034,119.68495,-6.0398073,2.523085,18.960161,-4.178043,24.691982,-6.5877132,1.951145,1.9734083,-0.47539604,1.8107586,-0.77094895,-3.3655555,-3.198498,-3.262206,-4.472361,0.564867,-3.7307215,-3.3902214,0
0.033075597,0.020402918265055008,112.34714673913044,2241.1573320156067,4714.304951625535,16.16805917578889,0.0010038685,2978.3898650115807,-344.6237,171.35036,19.858364,2.9080296,23.020447,-2.1147943,21.166224,-5.397959,14.009802,1.8187003,6.2085342,2.4025707,-3.534291,-1.4100908,3.3940845,-9.381491,-0.11348351,-3.3585024,5.210015,-2.1425009,0
0.012190104,0.031108915840330053,123.046875,2655.019559234544,4934.803670719874,16.933775761447194,0.0031010045,4116.108559595758,-457.12982,163.33191,17.49629,-2.7410886,13.455841,-2.6624687,27.731392,-3.3562927,5.9534106,-3.5765064,2.965528,0.55011,-7.36541,-12.998009,-2.45013,-8.616124,-5.365043,-9.2529125,0.75323844,-2.5286124,0
0.005902056,0.037986980674580194,132.51201923076923,3218.955401054477,5213.550539323212,16.36517389687849,0.0047278954,5999.372330993052,-490.5432,142.57344,-1.2289683,5.7543726,32.125412,-0.8036724,31.5585,-11.253095,4.8871756,1.6355112,0.6478104,8.439311,-7.026716,-2.2323382,2.687441,-6.1233187,-5.468178,-1.7517283,-2.344339,0.3696346,0
0.012038978,0.031607375506658944,117.45383522727273,2671.5854436937866,4934.611281126483,16.9044510496406,0.0037024692,4114.400366875362,-469.6284,166.3226,20.52446,-5.238813,7.476198,-6.511736,26.808449,-0.0711631,8.424413,-6.925208,1.2483449,5.4203606,0.3798076,-9.903858,-2.866591,-7.35808,2.1613705,-8.296082,-1.5307388,0.25721186,0
0.004757225,0.03767653897654893,126.04801829268293,3208.8591915675406,5218.387884694535,16.21325263203476,0.005703446,5964.510237224957,-513.3868,147.41292,0.09631291,8.440888,32.53237,-8.190619,35.019566,-13.699303,5.3227925,2.3846192,-1.2086705,12.006256,-9.317336,-3.5032668,0.48782822,-6.4115734,-5.00518,0.11749041,-2.216354,2.3265586,0
0.0056630396,0.033631749420961206,117.45383522727273,2980.98844297883,5081.064759383356,15.58041691516966,0.005759222,5510.068630799436,-517.7834,149.65059,11.885273,8.622425,18.180428,-7.2545576,30.616413,-1.9094046,11.127885,0.042638943,-3.0893085,10.196975,-3.8419034,-0.7206026,-2.1556866,-7.1142826,-2.770096,-7.9384093,-2.3162608,1.2037519,0
0.00069090904,0.06542488102562247,120.18531976744185,3907.2281247526903,5246.543244101469,15.913538199119886,0.01929069,7915.00448415786,-722.40125,119.396935,-1.8809371,10.976126,21.641535,-2.3772564,29.127693,-2.0810513,5.3254743,3.6594338,-5.3812366,-0.090844065,-2.2929196,-0.6921302,-4.0383816,-4.3006577,-6.521508,0.9302993,-5.0316367,-4.2235203,0
0.012950606,0.042045624185726695,120.18531976744185,3104.257278582977,5068.667383929722,17.18067919478552,0.0063722343,5510.268127759482,-445.7785,144.76654,14.066124,4.363689,14.320848,-8.387141,21.639095,0.8358759,4.3699155,-9.856741,-3.5802824,4.3712373,-2.320783,-9.7600765,-4.0603547,-8.095437,-5.201448,-6.341368,-3.7906318,-0.7110195,0
0.036902994,0.01777264584539664,126.04801829268293,2110.5771751526663,4549.435631528387,15.198867940777317,0.001410538,2941.4455217230025,-354.70068,158.6055,20.738077,4.098421,26.539455,9.663075,17.325844,6.0071673,11.181665,-3.1772246,5.588851,5.155043,5.232112,-1.9326081,2.5437677,-4.903481,1.9453971,-1.324853,1.8979083,-1.1165928,0
0.00961421,0.031056892823537928,126.04801829268293,2599.910088897445,4906.52673102307,16.835265542815684,0.002674351,3959.6655372394325,-468.51794,163.41995,17.48194,0.22203445,17.772377,-2.2137108,25.338638,-4.048868,7.942431,-3.7604165,2.4133105,3.2212696,-5.345494,-11.141071,-2.652428,-8.800289,-4.2926164,-9.943196,0.9851736,-0.18628643,0
0.009190615,0.03285423150694847,120.18531976744185,2814.348001826415,4916.375419586891,16.57290076821323,0.0045920704,5008.071936522872,-498.99088,144.12967,21.355652,11.212806,13.371813,0.27456138,27.207502,-0.22110192,4.460759,-1.77884,-0.06642024,3.9140675,-9.137343,-11.155981,-3.490672,-7.740737,-6.9662304,-10.86883,-1.2863481,-1.8023518,0
0.019929357,0.020982805262015056,120.18531976744185,2342.4055455584457,4765.315637860004,15.884881660741378,0.0014286102,3513.004312255718,-389.4455,164.5337,20.944864,10.646735,25.053467,-2.3885248,22.456318,-7.559979,11.513253,0.9666211,5.600424,10.754164,-4.996947,0.98254925,1.76857,-10.574969,-1.1448636,-3.3239877,7.1971955,-1.2370011,0
